,longitude,latitude,COUNTRY
0,-170.7007316174498,-14.305711987770536,American Samoa
1,-61.984935572074825,15.421124215614475,United States Minor Outlying Islands
2,-161.46513330483654,-17.435370030130244,Cook Islands
3,-145.255376012188,-13.526316739606633,French Polynesia
4,-169.86878106699086,-19.05230921680393,Niue
5,-129.0334897679429,-24.6538069190257,Pitcairn
6,-172.14588210018303,-13.760751252387802,Samoa
7,-171.85265950722743,-9.195174767256542,Tokelau
8,-174.6821765193416,-20.059250935052873,Tonga
9,-177.16299992783055,-13.792571994599982,Wallis and Futuna
10,-88.85911489238985,13.75804151705542,El Salvador
11,-90.31219349119615,15.820878515352685,Guatemala
12,-103.12043937176708,23.64394843426795,Mexico
13,-93.56663466105805,62.3658719808934,Canada
14,-64.44315167435286,-37.60564452525247,Argentina
15,-59.517812515426904,-51.75209043005578,Falkland Islands
16,-81.25545034464567,-34.32823756130027,Chile
17,-82.33897595908059,-1.2980654335322974,Ecuador
18,-74.11416196781884,-8.522717984240291,Peru
19,-64.45209597511207,-16.7312488393574,Bolivia
20,-54.355206608256424,-11.524630416426652,Brazil
21,-58.38906357428651,-23.421905592594282,Paraguay
22,-56.01919523458085,-32.78195043831093,Uruguay
23,-33.08486231591073,-55.79467861523634,South Georgia and South Sandwich Islands
24,-173.95712216184216,-76.48551363834154,Antarctica
25,178.6951729153761,-17.620524267005692,Fiji
26,-5.717391620813109,-15.9629633183404,Saint Helena
27,-63.06008343771807,18.222874004219086,Anguilla
28,-61.79187002978877,17.32188358622719,Antigua and Barbuda
29,-69.97564014284046,12.5156257229929,Aruba
30,-75.94757049263755,23.97198084472157,Bahamas
31,-59.557383949150285,13.183219369337527,Barbados
32,-88.5802147985989,17.29459368926392,Belize
33,-64.74585005991689,32.315067430740726,Bermuda
34,-68.29350445958761,12.180844982440338,Bonaire
35,-64.51741866359077,18.446627982858317,British Virgin Islands
36,-81.25203208977878,19.311231805620288,Cayman Islands
37,-73.84582517707031,5.294234610435874,Colombia
38,-84.14673625701816,9.863467407406214,Costa Rica
39,-79.6459652585029,21.50036820995566,Cuba
40,-68.96939768599042,12.199996647939832,Curacao
41,-61.36047194694299,15.429269860940511,Dominica
42,-70.40475973716906,18.755425996283158,Dominican Republic
43,-53.32232307156624,3.8574297424970783,French Guiana
44,-61.67937937204098,12.112926656338908,Grenada
45,-61.479999314891536,16.16880154346758,Guadeloupe
46,-58.913526127546675,4.6821198138505595,Guyana
47,-72.88622713826513,18.911768634685547,Haiti
48,-86.48189284585226,14.814433611247113,Honduras
49,-77.30358894542778,18.12207889341651,Jamaica
50,-61.01432380875083,14.642697353597644,Martinique
51,-62.18693281256255,16.735363391460353,Montserrat
52,-85.016088327669,12.893566631930554,Nicaragua
53,-80.17590175543056,8.422311846143701,Panama
54,-66.416588433247,18.210417890187674,Puerto Rico
55,-63.23739481909494,17.632512616389718,Saba
56,-62.83051610005157,17.90561691241738,Saint Barthelemy
57,-62.978230589445026,17.4919042294197,Saint Eustatius
58,-62.745603858957864,17.314736299587768,Saint Kitts and Nevis
59,-60.968951093525106,13.895749185129905,Saint Lucia
60,-63.066785253619464,18.078012113224467,Saint Martin
61,-56.29377513187377,46.91690723053818,Saint Pierre and Miquelon
62,-61.19376635439304,13.254808122970653,Saint Vincent and the Grenadines
63,-63.06883135915303,18.03942608463078,Sint Maarten
64,-55.855514311561286,4.0987235959201715,Suriname
65,-61.21970215999138,10.580055762974936,Trinidad and Tobago
66,-71.58749619781581,21.714564146976684,Turks and Caicos Islands
67,-64.8223722946981,17.997411702882236,US Virgin Islands
68,-66.36112352700971,7.162820597836788,Venezuela
69,-1.6932816211842323,12.108709036312735,Burkina Faso
70,-23.967443137094854,16.068302102903527,Cabo Verde
71,-5.571710194917734,7.536779279421308,Côte d'Ivoire
72,-15.383380385869662,13.42861795918933,Gambia
73,-1.219233362526581,7.94530467243628,Ghana
74,-5.3455494845943585,36.14022671336082,Gibraltar
75,-10.986948848040216,10.255986541378112,Guinea
76,-15.15305969813266,11.890510055620116,Guinea-Bissau
77,-9.258988935497618,6.52012979398834,Liberia
78,-4.346399841781153,17.168146208584837,Mali
79,-10.495079045035716,20.466731212820026,Mauritania
80,-8.817212587250811,28.687598134979325,Morocco
81,-16.832656931059567,38.02028834374672,Portugal
82,-14.610875368352303,14.228861491763404,Senegal
83,-11.808781566553495,8.543593293153963,Sierra Leone
84,-42.186793642998744,74.14793601519504,Greenland
85,-2.576392582891568,49.45870771378872,Guernsey
86,-8.258826761874563,53.30614676207018,Ireland
87,-4.532995055468449,54.228553010080105,Isle of Man
88,-2.129160116265357,49.21539692572431,Jersey
89,-3.156995563222747,54.90083227861851,United Kingdom
90,-19.05682967106099,65.12360920205514,Iceland
91,-6.8520204289638045,61.97101453244277,Faroe Islands
92,13.36016331611152,76.48564398291828,Svalbard
93,3.411969465057627,-54.423166793952475,Bouvet Island
94,56.86665418117432,-43.657478845817955,New Zealand
95,17.478008046252885,-11.89758947644664,Angola
96,23.85779956995608,-22.236609002062906,Botswana
97,29.88518227845293,-3.261251993278643,Burundi
98,43.81817519272116,-11.969445595220847,Comoros
99,14.879732849491393,-0.7294391595233845,Congo
100,23.419827574282195,-3.3386295962078965,Congo DRC
101,11.839410898545756,-0.628448459921234,Gabon
102,37.95309411262371,0.6899182318376179,Kenya
103,28.244753178642267,-29.60168116924817,Lesotho
104,34.23441182298881,-13.128986464184024,Malawi
105,42.743747610896456,-17.064491936308038,Juan De Nova Island
106,35.208577031290176,-17.525230309488748,Mozambique
107,18.16451345845268,-21.90858163281473,Namibia
108,29.91943968176408,-2.014687460047154,Rwanda
109,6.911986724638053,0.7728330713558265,Sao Tome and Principe
110,27.578231339253033,-32.72976617311268,South Africa
111,31.51068574608201,-26.562540935608702,Eswatini
112,34.93574264768485,-6.353604204237651,Tanzania
113,27.755213634308962,-13.162832953186244,Zambia
114,29.717829640720844,-18.927001219814752,Zimbabwe
115,72.43501618476016,-7.323548444385742,British Indian Ocean Territory
116,63.297413102060936,-48.26579567146711,French Southern Territories
117,73.49298560844046,-53.08417003551374,Heard Island and McDonald Islands
118,46.68493466832543,-19.04163612493041,Madagascar
119,59.68861271868011,-20.06050170376338,Mauritius
120,45.148673838839244,-12.821449995165706,Mayotte
121,47.29094808154338,-11.566224871643415,Glorioso Islands
122,55.54393506194689,-21.119825460665105,Réunion
123,51.28904175365966,-6.847341132139228,Seychelles
124,2.655846471976913,28.350969744889053,Algeria
125,2.305714528830206,9.503013199615893,Benin
126,12.948474142398267,6.2941684874809924,Cameroon
127,20.520743419397252,6.331390033944318,Central African Republic
128,18.42711390036302,15.283493546654507,Chad
129,9.917747921680592,2.16345301148848,Equatorial Guinea
130,-42.29462747902002,1.6860774162119534,Kiribati
131,17.911333924542372,27.202915771690797,Libya
132,14.441922442508496,35.890522650899314,Malta
133,8.86863247002646,17.08105392407292,Niger
134,8.147632718717043,9.609707376481591,Nigeria
135,0.8990857571109684,8.660743037717811,Togo
136,9.65587551697984,34.08636179565723,Tunisia
137,33.375346009199205,35.11700416345239,Cyprus
138,42.613496898789506,11.750235727618804,Djibouti
139,30.240135435012334,26.605170344506284,Egypt
140,39.2672401449901,15.005533147667684,Eritrea
141,39.91490288654428,8.729389557048398,Ethiopia
142,24.25559638863209,38.41864937016185,Greece
143,43.832529181056884,33.105075667527906,Iraq
144,35.027923472437024,31.513542220043195,Israel
145,36.95728884547246,31.387064884449163,Jordan
146,35.89651946324749,33.91160170722086,Lebanon
147,35.030830985631034,31.82082842115889,Palestinian Territory
148,30.3851856901788,7.657782041763295,South Sudan
149,29.951458283594064,15.670602309842561,Sudan
150,38.5117323139514,35.09751106058316,Syria
151,35.09557205928997,39.090972252844146,Turkey
152,32.34371768463123,1.2821729218416205,Uganda
153,1.5802243611232871,42.54859834854764,Andorra
154,-127.76385744090393,42.46427186904937,United States
155,2.9361781319581985,46.20410930340389,France
156,9.547674672376376,47.14627562133035,Liechtenstein
157,7.412820873271196,43.74798224995656,Monaco
158,8.286928794895285,46.736781286849386,Switzerland
159,4.675010154696485,50.618213885409496,Belgium
160,10.46159124903506,51.14928158531881,Germany
161,6.103230338458875,49.775234545423686,Luxembourg
162,5.4745768526276,52.13751518539507,Netherlands
163,20.061082767269493,41.141658948916564,Albania
164,13.797778364631036,47.631858269895794,Austria
165,17.834672407875377,44.14415356126429,Bosnia and Herzegovina
166,16.782818411227733,44.649314721959534,Croatia
167,15.383273292023532,49.749173709309815,Czech Republic
168,11.00211247600492,55.915553126522035,Denmark
169,19.396200483661424,47.22527332486294,Hungary
170,12.246695926942852,41.995991846608064,Italy
171,19.29505087156758,42.73694835210454,Montenegro
172,19.43573279234468,52.068480556924726,Poland
173,12.461278349581724,43.9428207290979,San Marino
174,20.856774443957452,44.026798701319684,Serbia
175,19.58101536249097,48.69808390520484,Slovakia
176,14.890636899973778,46.137592295645035,Slovenia
177,21.70998923872772,41.594028901431116,North Macedonia
178,12.451312917026133,41.90402351316735,Vatican City
179,16.463696137046043,65.18711088537542,Norway
180,17.277289833215,62.465411512059056,Sweden
181,27.964252054715104,53.46791374543163,Belarus
182,25.25173912256191,42.82043677302438,Bulgaria
183,25.236405424373828,58.57756953800766,Estonia
184,25.196596380195327,64.81356381018371,Finland
185,43.37886653411224,42.17986277737226,Georgia
186,24.693671325654407,56.81385304755416,Latvia
187,23.889370978174423,55.289040283652774,Lithuania
188,28.391111865941355,47.0725674580696,Moldova
189,25.094158201563285,45.824548943975856,Romania
190,31.27377208442636,48.657532515563794,Ukraine
191,66.59216131095278,34.13402601376932,Afghanistan
192,50.62094026880333,25.964434666686607,Bahrain
193,82.83375236985977,20.688393643630015,India
194,54.23707700106544,32.90602374289005,Iran
195,47.631413840209895,29.30657194122469,Kuwait
196,73.23878260570868,3.2391153839409266,Maldives
197,84.13388983135671,28.300920699755654,Nepal
198,55.897030437771654,21.080814680695312,Oman
199,69.08835090769651,30.116188371410882,Pakistan
200,51.19794918743203,25.318528486425386,Qatar
201,44.547142968616136,24.075476084830914,Saudi Arabia
202,45.40037867243972,6.5245345731039235,Somalia
203,80.65376391290387,7.719586213734207,Sri Lanka
204,70.94215281065699,38.56933138382972,Tajikistan
205,58.457735762705404,39.06069118001429,Turkmenistan
206,54.27920525789581,24.18250292309135,United Arab Emirates
207,48.471214933713796,15.250598269139493,Yemen
208,45.0549083196526,40.17841274230679,Armenia
209,48.398305143338455,40.33497634263672,Azerbaijan
210,66.3759193479301,47.64146519517684,Kazakhstan
211,74.17532903468319,41.356989054383575,Kyrgyzstan
212,63.8548297593985,41.4879065244633,Uzbekistan
213,105.70209512200549,-10.446440802183416,Christmas Island
214,96.83688767323002,-12.171249450199545,Cocos Islands
215,118.73586057233207,-2.3079333544632434,Indonesia
216,125.668173977829,-8.798839646941667,Timor-Leste
217,137.1165643407495,-30.13416027985837,Australia
218,166.92937633139178,-0.5221021440668993,Nauru
219,166.27594499606238,-21.253890348985426,New Caledonia
220,167.95259597483337,-29.037654445046282,Norfolk Island
221,148.1803959140757,-6.4300159966264765,Papua New Guinea
222,160.96663461713925,-9.760237065778515,Solomon Islands
223,177.7908632460372,-7.077587264899652,Tuvalu
224,168.03401497043464,-16.479658326860534,Vanuatu
225,105.039730786807,12.699186865507775,Cambodia
226,103.76375899026449,18.117282736873282,Laos
227,109.38825444685766,4.304358978251201,Malaysia
228,97.08691544807499,19.777376584152602,Myanmar
229,103.81025757634052,1.3528251890006349,Singapore
230,101.06860621475552,13.596475025422244,Thailand
231,105.79110320454193,16.374291050391893,Vietnam
232,90.43212562608612,23.673728665121,Bangladesh
233,90.46716647173858,27.421639339598237,Bhutan
234,105.45120548784293,37.458640079762894,China
235,114.79362404227638,4.524564529891025,Brunei Darussalam
236,121.86964934640936,10.803250497287834,Philippines
237,127.63138763851519,36.052364637168104,South Korea
238,103.39873603274549,47.086444546048504,Mongolia
239,127.33798056537441,40.19198091470839,North Korea
240,144.78024458298805,13.445430479945276,Guam
241,135.44649610719037,35.835803471968276,Japan
242,167.4718542732086,10.051054424749758,Marshall Islands
243,160.41981307706675,6.1606517443131565,Micronesia
244,145.68468719023744,15.090138493332644,Northern Mariana Islands
245,134.5666403460281,7.507585985168557,Palau
246,98.969887718399,61.452642935773156,Russian Federation
247,-2.942967336093022,40.03038547506125,Spain
248,-15.920136671626391,28.41924762477911,Canarias
249,35.233154,31.952162,Palestine
