districtName,year,districtCode,neighborhoodCode,neighborhoodName,sex,count
Ciutat Vella,2015,1,1,el Raval,Male,3219
Ciutat Vella,2015,1,2,el Barri Gòtic,Male,1164
Ciutat Vella,2015,1,3,la Barceloneta,Male,808
Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",Male,1302
Eixample,2015,2,5,el Fort Pienc,Male,999
Eixample,2015,2,6,la Sagrada Família,Male,1544
Eixample,2015,2,7,la Dreta de l'Eixample,Male,1376
Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,Male,1443
Eixample,2015,2,9,la Nova Esquerra de l'Eixample,Male,1699
Eixample,2015,2,10,Sant Antoni,Male,1188
Sants-Montjuïc,2015,3,11,el Poble Sec,Male,1573
Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,Male,33
Sants-Montjuïc,2015,3,13,la Marina de Port,Male,691
Sants-Montjuïc,2015,3,14,la Font de la Guatlla,Male,372
Sants-Montjuïc,2015,3,15,Hostafrancs,Male,605
Sants-Montjuïc,2015,3,16,la Bordeta,Male,488
Sants-Montjuïc,2015,3,17,Sants - Badal,Male,708
Sants-Montjuïc,2015,3,18,Sants,Male,1224
Les Corts,2015,4,19,les Corts,Male,1022
Les Corts,2015,4,20,la Maternitat i Sant Ramon,Male,626
Les Corts,2015,4,21,Pedralbes,Male,392
Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",Male,110
Sarrià-Sant Gervasi,2015,5,23,Sarrià,Male,579
Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,Male,313
Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,Male,575
Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,Male,1032
Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,Male,679
Gràcia,2015,6,28,Vallcarca i els Penitents,Male,312
Gràcia,2015,6,29,el Coll,Male,177
Gràcia,2015,6,30,la Salut,Male,268
Gràcia,2015,6,31,la Vila de Gràcia,Male,1607
Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,Male,780
Horta-Guinardó,2015,7,33,el Baix Guinardó,Male,587
Horta-Guinardó,2015,7,34,Can Baró,Male,205
Horta-Guinardó,2015,7,35,el Guinardó,Male,805
Horta-Guinardó,2015,7,36,la Font d'en Fargues,Male,125
Horta-Guinardó,2015,7,37,el Carmel,Male,564
Horta-Guinardó,2015,7,38,la Teixonera,Male,205
Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,Male,135
Horta-Guinardó,2015,7,40,Montbau,Male,112
Horta-Guinardó,2015,7,41,la Vall d'Hebron,Male,99
Horta-Guinardó,2015,7,42,la Clota,Male,20
Horta-Guinardó,2015,7,43,Horta,Male,481
Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,Male,498
Nou Barris,2015,8,45,Porta,Male,510
Nou Barris,2015,8,46,el Turó de la Peira,Male,382
Nou Barris,2015,8,47,Can Peguera,Male,17
Nou Barris,2015,8,48,la Guineueta,Male,203
Nou Barris,2015,8,49,Canyelles,Male,77
Nou Barris,2015,8,50,les Roquetes,Male,409
Nou Barris,2015,8,51,Verdun,Male,278
Nou Barris,2015,8,52,la Prosperitat,Male,497
Nou Barris,2015,8,53,la Trinitat Nova,Male,189
Nou Barris,2015,8,54,Torre Baró,Male,70
Nou Barris,2015,8,55,Ciutat Meridiana,Male,303
Nou Barris,2015,8,56,Vallbona,Male,37
Sant Andreu,2015,9,57,la Trinitat Vella,Male,407
Sant Andreu,2015,9,58,Baró de Viver,Male,61
Sant Andreu,2015,9,59,el Bon Pastor,Male,310
Sant Andreu,2015,9,60,Sant Andreu,Male,898
Sant Andreu,2015,9,61,la Sagrera,Male,548
Sant Andreu,2015,9,62,el Congrés i els Indians,Male,272
Sant Andreu,2015,9,63,Navas,Male,470
Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,Male,935
Sant Martí,2015,10,65,el Clot,Male,612
Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,Male,442
Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,Male,243
Sant Martí,2015,10,68,el Poblenou,Male,800
Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,Male,348
Sant Martí,2015,10,70,el Besòs i el Maresme,Male,921
Sant Martí,2015,10,71,Provençals del Poblenou,Male,474
Sant Martí,2015,10,72,Sant Martí de Provençals,Male,496
Sant Martí,2015,10,73,la Verneda i la Pau,Male,529
Ciutat Vella,2015,1,1,el Raval,Female,2118
Ciutat Vella,2015,1,2,el Barri Gòtic,Female,1038
Ciutat Vella,2015,1,3,la Barceloneta,Female,746
Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",Female,1250
Eixample,2015,2,5,el Fort Pienc,Female,1005
Eixample,2015,2,6,la Sagrada Família,Female,1722
Eixample,2015,2,7,la Dreta de l'Eixample,Female,1597
Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,Female,1493
Eixample,2015,2,9,la Nova Esquerra de l'Eixample,Female,1844
Eixample,2015,2,10,Sant Antoni,Female,1108
Sants-Montjuïc,2015,3,11,el Poble Sec,Female,1321
Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,Female,28
Sants-Montjuïc,2015,3,13,la Marina de Port,Female,674
Sants-Montjuïc,2015,3,14,la Font de la Guatlla,Female,390
Sants-Montjuïc,2015,3,15,Hostafrancs,Female,569
Sants-Montjuïc,2015,3,16,la Bordeta,Female,451
Sants-Montjuïc,2015,3,17,Sants - Badal,Female,767
Sants-Montjuïc,2015,3,18,Sants,Female,1285
Les Corts,2015,4,19,les Corts,Female,1099
Les Corts,2015,4,20,la Maternitat i Sant Ramon,Female,714
Les Corts,2015,4,21,Pedralbes,Female,350
Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",Female,121
Sarrià-Sant Gervasi,2015,5,23,Sarrià,Female,608
Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,Female,396
Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,Female,642
Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,Female,1236
Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,Female,780
Gràcia,2015,6,28,Vallcarca i els Penitents,Female,351
Gràcia,2015,6,29,el Coll,Female,195
Gràcia,2015,6,30,la Salut,Female,286
Gràcia,2015,6,31,la Vila de Gràcia,Female,1895
Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,Female,863
Horta-Guinardó,2015,7,33,el Baix Guinardó,Female,618
Horta-Guinardó,2015,7,34,Can Baró,Female,197
Horta-Guinardó,2015,7,35,el Guinardó,Female,858
Horta-Guinardó,2015,7,36,la Font d'en Fargues,Female,105
Horta-Guinardó,2015,7,37,el Carmel,Female,601
Horta-Guinardó,2015,7,38,la Teixonera,Female,215
Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,Female,136
Horta-Guinardó,2015,7,40,Montbau,Female,110
Horta-Guinardó,2015,7,41,la Vall d'Hebron,Female,85
Horta-Guinardó,2015,7,42,la Clota,Female,8
Horta-Guinardó,2015,7,43,Horta,Female,507
Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,Female,507
Nou Barris,2015,8,45,Porta,Female,494
Nou Barris,2015,8,46,el Turó de la Peira,Female,378
Nou Barris,2015,8,47,Can Peguera,Female,24
Nou Barris,2015,8,48,la Guineueta,Female,232
Nou Barris,2015,8,49,Canyelles,Female,85
Nou Barris,2015,8,50,les Roquetes,Female,433
Nou Barris,2015,8,51,Verdun,Female,316
Nou Barris,2015,8,52,la Prosperitat,Female,564
Nou Barris,2015,8,53,la Trinitat Nova,Female,191
Nou Barris,2015,8,54,Torre Baró,Female,71
Nou Barris,2015,8,55,Ciutat Meridiana,Female,297
Nou Barris,2015,8,56,Vallbona,Female,36
Sant Andreu,2015,9,57,la Trinitat Vella,Female,287
Sant Andreu,2015,9,58,Baró de Viver,Female,49
Sant Andreu,2015,9,59,el Bon Pastor,Female,269
Sant Andreu,2015,9,60,Sant Andreu,Female,913
Sant Andreu,2015,9,61,la Sagrera,Female,628
Sant Andreu,2015,9,62,el Congrés i els Indians,Female,295
Sant Andreu,2015,9,63,Navas,Female,462
Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,Female,1013
Sant Martí,2015,10,65,el Clot,Female,603
Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,Female,449
Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,Female,241
Sant Martí,2015,10,68,el Poblenou,Female,804
Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,Female,325
Sant Martí,2015,10,70,el Besòs i el Maresme,Female,652
Sant Martí,2015,10,71,Provençals del Poblenou,Female,467
Sant Martí,2015,10,72,Sant Martí de Provençals,Female,463
Sant Martí,2015,10,73,la Verneda i la Pau,Female,564
Ciutat Vella,2016,1,1,el Raval,Male,2819
Ciutat Vella,2016,1,2,el Barri Gòtic,Male,1135
Ciutat Vella,2016,1,3,la Barceloneta,Male,785
Ciutat Vella,2016,1,4,"Sant Pere, Santa Caterina i la Ribera",Male,1210
Eixample,2016,2,5,el Fort Pienc,Male,962
Eixample,2016,2,6,la Sagrada Família,Male,1472
Eixample,2016,2,7,la Dreta de l'Eixample,Male,1367
Eixample,2016,2,8,l'Antiga Esquerra de l'Eixample,Male,1412
Eixample,2016,2,9,la Nova Esquerra de l'Eixample,Male,1667
Eixample,2016,2,10,Sant Antoni,Male,1067
Sants-Montjuïc,2016,3,11,el Poble Sec,Male,1439
Sants-Montjuïc,2016,3,12,la Marina del Prat Vermell,Male,18
Sants-Montjuïc,2016,3,13,la Marina de Port,Male,622
Sants-Montjuïc,2016,3,14,la Font de la Guatlla,Male,302
Sants-Montjuïc,2016,3,15,Hostafrancs,Male,518
Sants-Montjuïc,2016,3,16,la Bordeta,Male,442
Sants-Montjuïc,2016,3,17,Sants - Badal,Male,642
Sants-Montjuïc,2016,3,18,Sants,Male,1121
Les Corts,2016,4,19,les Corts,Male,977
Les Corts,2016,4,20,la Maternitat i Sant Ramon,Male,588
Les Corts,2016,4,21,Pedralbes,Male,369
Sarrià-Sant Gervasi,2016,5,22,"Vallvidrera, el Tibidabo i les Planes",Male,75
Sarrià-Sant Gervasi,2016,5,23,Sarrià,Male,542
Sarrià-Sant Gervasi,2016,5,24,les Tres Torres,Male,264
Sarrià-Sant Gervasi,2016,5,25,Sant Gervasi - la Bonanova,Male,526
Sarrià-Sant Gervasi,2016,5,26,Sant Gervasi - Galvany,Male,1041
Sarrià-Sant Gervasi,2016,5,27,el Putxet i el Farró,Male,580
Gràcia,2016,6,28,Vallcarca i els Penitents,Male,325
Gràcia,2016,6,29,el Coll,Male,161
Gràcia,2016,6,30,la Salut,Male,304
Gràcia,2016,6,31,la Vila de Gràcia,Male,1405
Gràcia,2016,6,32,el Camp d'en Grassot i Gràcia Nova,Male,702
Horta-Guinardó,2016,7,33,el Baix Guinardó,Male,510
Horta-Guinardó,2016,7,34,Can Baró,Male,174
Horta-Guinardó,2016,7,35,el Guinardó,Male,774
Horta-Guinardó,2016,7,36,la Font d'en Fargues,Male,99
Horta-Guinardó,2016,7,37,el Carmel,Male,555
Horta-Guinardó,2016,7,38,la Teixonera,Male,268
Horta-Guinardó,2016,7,39,Sant Genís dels Agudells,Male,177
Horta-Guinardó,2016,7,40,Montbau,Male,97
Horta-Guinardó,2016,7,41,la Vall d'Hebron,Male,113
Horta-Guinardó,2016,7,42,la Clota,Male,8
Horta-Guinardó,2016,7,43,Horta,Male,463
Nou Barris,2016,8,44,Vilapicina i la Torre Llobeta,Male,447
Nou Barris,2016,8,45,Porta,Male,548
Nou Barris,2016,8,46,el Turó de la Peira,Male,336
Nou Barris,2016,8,47,Can Peguera,Male,31
Nou Barris,2016,8,48,la Guineueta,Male,204
Nou Barris,2016,8,49,Canyelles,Male,64
Nou Barris,2016,8,50,les Roquetes,Male,383
Nou Barris,2016,8,51,Verdun,Male,273
Nou Barris,2016,8,52,la Prosperitat,Male,475
Nou Barris,2016,8,53,la Trinitat Nova,Male,171
Nou Barris,2016,8,54,Torre Baró,Male,55
Nou Barris,2016,8,55,Ciutat Meridiana,Male,316
Nou Barris,2016,8,56,Vallbona,Male,37
Sant Andreu,2016,9,57,la Trinitat Vella,Male,300
Sant Andreu,2016,9,58,Baró de Viver,Male,40
Sant Andreu,2016,9,59,el Bon Pastor,Male,251
Sant Andreu,2016,9,60,Sant Andreu,Male,854
Sant Andreu,2016,9,61,la Sagrera,Male,533
Sant Andreu,2016,9,62,el Congrés i els Indians,Male,251
Sant Andreu,2016,9,63,Navas,Male,443
Sant Martí,2016,10,64,el Camp de l'Arpa del Clot,Male,920
Sant Martí,2016,10,65,el Clot,Male,570
Sant Martí,2016,10,66,el Parc i la Llacuna del Poblenou,Male,450
Sant Martí,2016,10,67,la Vila Olímpica del Poblenou,Male,196
Sant Martí,2016,10,68,el Poblenou,Male,807
Sant Martí,2016,10,69,Diagonal Mar i el Front Marítim del Poblenou,Male,337
Sant Martí,2016,10,70,el Besòs i el Maresme,Male,871
Sant Martí,2016,10,71,Provençals del Poblenou,Male,398
Sant Martí,2016,10,72,Sant Martí de Provençals,Male,502
Sant Martí,2016,10,73,la Verneda i la Pau,Male,506
Ciutat Vella,2016,1,1,el Raval,Female,2157
Ciutat Vella,2016,1,2,el Barri Gòtic,Female,1063
Ciutat Vella,2016,1,3,la Barceloneta,Female,763
Ciutat Vella,2016,1,4,"Sant Pere, Santa Caterina i la Ribera",Female,1167
Eixample,2016,2,5,el Fort Pienc,Female,1032
Eixample,2016,2,6,la Sagrada Família,Female,1683
Eixample,2016,2,7,la Dreta de l'Eixample,Female,1576
Eixample,2016,2,8,l'Antiga Esquerra de l'Eixample,Female,1499
Eixample,2016,2,9,la Nova Esquerra de l'Eixample,Female,1819
Eixample,2016,2,10,Sant Antoni,Female,1079
Sants-Montjuïc,2016,3,11,el Poble Sec,Female,1290
Sants-Montjuïc,2016,3,12,la Marina del Prat Vermell,Female,17
Sants-Montjuïc,2016,3,13,la Marina de Port,Female,679
Sants-Montjuïc,2016,3,14,la Font de la Guatlla,Female,298
Sants-Montjuïc,2016,3,15,Hostafrancs,Female,505
Sants-Montjuïc,2016,3,16,la Bordeta,Female,445
Sants-Montjuïc,2016,3,17,Sants - Badal,Female,724
Sants-Montjuïc,2016,3,18,Sants,Female,1201
Les Corts,2016,4,19,les Corts,Female,1070
Les Corts,2016,4,20,la Maternitat i Sant Ramon,Female,622
Les Corts,2016,4,21,Pedralbes,Female,366
Sarrià-Sant Gervasi,2016,5,22,"Vallvidrera, el Tibidabo i les Planes",Female,75
Sarrià-Sant Gervasi,2016,5,23,Sarrià,Female,589
Sarrià-Sant Gervasi,2016,5,24,les Tres Torres,Female,348
Sarrià-Sant Gervasi,2016,5,25,Sant Gervasi - la Bonanova,Female,597
Sarrià-Sant Gervasi,2016,5,26,Sant Gervasi - Galvany,Female,1228
Sarrià-Sant Gervasi,2016,5,27,el Putxet i el Farró,Female,691
Gràcia,2016,6,28,Vallcarca i els Penitents,Female,354
Gràcia,2016,6,29,el Coll,Female,171
Gràcia,2016,6,30,la Salut,Female,305
Gràcia,2016,6,31,la Vila de Gràcia,Female,1650
Gràcia,2016,6,32,el Camp d'en Grassot i Gràcia Nova,Female,803
Horta-Guinardó,2016,7,33,el Baix Guinardó,Female,550
Horta-Guinardó,2016,7,34,Can Baró,Female,200
Horta-Guinardó,2016,7,35,el Guinardó,Female,852
Horta-Guinardó,2016,7,36,la Font d'en Fargues,Female,103
Horta-Guinardó,2016,7,37,el Carmel,Female,598
Horta-Guinardó,2016,7,38,la Teixonera,Female,268
Horta-Guinardó,2016,7,39,Sant Genís dels Agudells,Female,170
Horta-Guinardó,2016,7,40,Montbau,Female,134
Horta-Guinardó,2016,7,41,la Vall d'Hebron,Female,98
Horta-Guinardó,2016,7,42,la Clota,Female,15
Horta-Guinardó,2016,7,43,Horta,Female,506
Nou Barris,2016,8,44,Vilapicina i la Torre Llobeta,Female,509
Nou Barris,2016,8,45,Porta,Female,618
Nou Barris,2016,8,46,el Turó de la Peira,Female,381
Nou Barris,2016,8,47,Can Peguera,Female,37
Nou Barris,2016,8,48,la Guineueta,Female,260
Nou Barris,2016,8,49,Canyelles,Female,65
Nou Barris,2016,8,50,les Roquetes,Female,469
Nou Barris,2016,8,51,Verdun,Female,303
Nou Barris,2016,8,52,la Prosperitat,Female,624
Nou Barris,2016,8,53,la Trinitat Nova,Female,174
Nou Barris,2016,8,54,Torre Baró,Female,70
Nou Barris,2016,8,55,Ciutat Meridiana,Female,310
Nou Barris,2016,8,56,Vallbona,Female,28
Sant Andreu,2016,9,57,la Trinitat Vella,Female,245
Sant Andreu,2016,9,58,Baró de Viver,Female,44
Sant Andreu,2016,9,59,el Bon Pastor,Female,233
Sant Andreu,2016,9,60,Sant Andreu,Female,896
Sant Andreu,2016,9,61,la Sagrera,Female,646
Sant Andreu,2016,9,62,el Congrés i els Indians,Female,299
Sant Andreu,2016,9,63,Navas,Female,470
Sant Martí,2016,10,64,el Camp de l'Arpa del Clot,Female,974
Sant Martí,2016,10,65,el Clot,Female,589
Sant Martí,2016,10,66,el Parc i la Llacuna del Poblenou,Female,406
Sant Martí,2016,10,67,la Vila Olímpica del Poblenou,Female,195
Sant Martí,2016,10,68,el Poblenou,Female,813
Sant Martí,2016,10,69,Diagonal Mar i el Front Marítim del Poblenou,Female,332
Sant Martí,2016,10,70,el Besòs i el Maresme,Female,704
Sant Martí,2016,10,71,Provençals del Poblenou,Female,407
Sant Martí,2016,10,72,Sant Martí de Provençals,Female,535
